sample	tsne_1	tsne_2	group
setosa_1	-29.2955612658426	-2.84627214798574	setosa
setosa_2	-24.79150532927	-1.36827555303762	setosa
setosa_3	-25.0982463405631	-3.17286744798023	setosa
setosa_4	-24.5610079356586	-2.71101076635263	setosa
setosa_5	-29.0267212828064	-3.27934262064961	setosa
setosa_6	-32.1985401739234	-1.90136442278506	setosa
setosa_7	-25.3898899674163	-3.815327275006	setosa
setosa_8	-28.2521486537197	-2.35523295160862	setosa
setosa_9	-23.4924327718678	-2.89079986505944	setosa
setosa_10	-25.469775123702	-1.47336753076187	setosa
setosa_11	-31.6664937318279	-2.77652871486771	setosa
setosa_12	-27.0229367726223	-1.83539182800716	setosa
setosa_13	-24.589966968604	-1.8379128979452	setosa
setosa_14	-23.3258363142317	-3.64051032381838	setosa
setosa_15	-33.5546556756393	-2.67836227489452	setosa
setosa_16	-33.7513123971826	-2.00693123253632	setosa
setosa_17	-32.5774110054671	-2.33556790724779	setosa
setosa_18	-29.4196577150877	-2.50695204971708	setosa
setosa_19	-32.7075872959479	-3.06730200837956	setosa
setosa_20	-30.9955550799141	-1.71512186946168	setosa
setosa_21	-30.777901101981	-3.73499504288819	setosa
setosa_22	-30.5063113864068	-1.72222169535804	setosa
setosa_23	-26.1390753806527	-4.72797336394947	setosa
setosa_24	-28.7354343682307	-0.767577516829697	setosa
setosa_25	-27.1292182605524	-0.884266489571822	setosa
setosa_26	-25.3781374622045	-0.859594363177039	setosa
setosa_27	-28.6287818053391	-1.28163370071128	setosa
setosa_28	-30.0931781490144	-2.83141208209323	setosa
setosa_29	-29.6956881410647	-3.1962680201857	setosa
setosa_30	-25.6235374808615	-2.40456866547575	setosa
setosa_31	-25.5106042384434	-1.90300105810284	setosa
setosa_32	-30.76367837202	-3.66763838715533	setosa
setosa_33	-32.5653843950609	-1.28284478841289	setosa
setosa_34	-33.3098445894825	-1.91651746919957	setosa
setosa_35	-25.5317754304412	-1.5717732769542	setosa
setosa_36	-26.7927044490034	-3.14709809262751	setosa
setosa_37	-31.5127810268348	-3.7274720873897	setosa
setosa_38	-28.4664888704911	-3.74900441259588	setosa
setosa_39	-23.6813999450775	-3.26208998107968	setosa
setosa_40	-28.855696659162	-2.38311705133751	setosa
setosa_41	-28.602510005747	-3.14748616528145	setosa
setosa_42	-22.9068536827038	-2.10403175900477	setosa
setosa_43	-24.1423583186989	-3.76136153040713	setosa
setosa_44	-29.2237269021613	-0.77271911023799	setosa
